Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"CIB";"CEN/TC 155";"CIB - Investigation of scope surface water pipes standard";"";"";"Open";"2025-12-19";"2026-03-18";"n/a";"None";"";"";"Voter";"SCOPE of NWIP as circulated under DEC 1584: This document specifies the definitions and requirements for unplasticized polyvinyl chloride (PVC-U), polypropylene (PP), and polyethylene (PE) structured-wall and solid wall piping systems intended for transport, infiltration, and exfiltration in non-pressure underground drains and sewers for surface water (including seepage water). This document is applicable for pipes and fittings that are intended to be used buried underground outside the building structure reflected in the marking of the products by “U”. This document covers products intended for the use in road construction and civil engineering. This document covers circular pipes with or without perforations. This document applies to structured and solid wall pipes and fittings with or without an integral socket. Note 1: Products intended to transport foul wastewater are covered by EN 13476-2, EN 13476-3, EN 1401-1, EN 1852-1, EN 12666-1, EN 14758-1 Note 2: This document does not apply to agricultural (land drainage) or landfill applications.";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175576";"DEC 1584 NWI Surface water pipes standard + request comments was not approved and the CIB did not provide sufficient input/comments.  For better understanding, this CIB is launched to to investigate how the scope should be changed to bring this to an acceptable proposal.  WG 13 will study the outcome of this CIB to see if an acceptable proposal could be circulated for approval  as NWIP."
"CIB-AdopPWI";"CEN/TC 155";"DEC 1625 PWI for structural design manholes (CEN/TS)";"";"";"Open";"2026-01-22";"2026-03-18";"n/a";"None";"";"";"Voter";"Plastic piping systems - Structural design of circular thermoplastic manholes - Guidance under various conditions of loading";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180316";"Please find attached: - draft decision1625 - the first draft for the guidance (WG 1 N 362)  CEN/TC 155/WG 1 is looking for more experts with good knowledge about structural design for manholes. A seperate CIB will be launched for this call for experts"
"FV";"CEN/TC 459/SC 1";"FprEN ISO 14577-2";"";"";"Open";"2026-01-22";"2026-03-18";"n/a";"VA/ISO";"76323";"EC101196";"Voter";"Metallic materials - Instrumented indentation test for hardness and materials parameters - Part 2: Verification and calibration of testing machines (ISO/FDIS 14577-2:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180360";""
"FV";"ASD-STAN";"FprEN 3078";"";"";"Open";"2026-01-22";"2026-03-19";"n/a";"None";"79721";"04004908";"Voter";"Aerospace series - P, Q and saddle clamps with rubber cushion - Technical Specification";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180426";""
"FV";"CEN/TC 38";"FprCEN/TS 15082";"";"";"Open";"2025-12-25";"2026-03-19";"n/a";"None";"81465";"00038256";"Voter";"Biological durability of wood and wood-based products - Determination of the preventive effectiveness against sapstain, mould and other disfiguring micro-organisms on freshly sawn timber - Field test";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176465";""
"FV";"CEN/TC 132";"FprEN 601";"";"";"Open";"2026-01-22";"2026-03-19";"n/a";"None";"81523";"00132355";"Voter";"Aluminium and aluminium alloys - Castings - Chemical composition of castings for use in contact with foodstuff";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180362";""
"FV";"CEN/TC 147";"FprEN 15056";"";"";"Open";"2026-01-22";"2026-03-19";"n/a";"None";"78251";"00147193";"Voter";"Cranes - Requirements for container handling spreaders";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180398";""
"FV";"CEN/TC 155";"FprEN 12666-1";"";"";"Open";"2026-01-22";"2026-03-19";"n/a";"None";"79202";"00155A1E";"Voter";"Plastics piping systems for non-pressure underground drains and sewers - Polyethylene (PE) - Part 1: Specifications for pipes, fittings and the system";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180386";""
"FV";"CEN/TC 165";"FprEN 12255-7";"";"";"Open";"2026-01-22";"2026-03-19";"n/a";"None";"76645";"00165354";"Voter";"Wastewater treatment plants - Part 7: Biological fixed-film reactors";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180425";""
"FV";"CEN/TC 249";"FprEN 438-9";"";"";"Open";"2026-01-22";"2026-03-19";"n/a";"None";"80150";"00249A6I";"Voter";"High-pressure decorative laminates (HPL) - Sheets based on thermosetting resins (usually called laminates) - Part 9: Classification and specifications for alternative core laminates";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180424";""
"FV";"CEN/TC 256";"EN 16272-3-2:2023/FprA1:2026";"";"";"Open";"2026-01-22";"2026-03-19";"n/a";"None";"79870";"00256A4O";"Voter";"Railway applications - Infrastructure - Noise barriers and related devices acting on airborne sound propagation - Test method for determining the acoustic performance - Part 3-2: Normalized railway noise spectrum and single number ratings for direct sound field applications";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180422";""
"Enquiry";"CEN/TC 260";"prEN 15957";"";"";"Open";"2025-12-25";"2026-03-19";"n/a";"None";"81617";"00260322";"Voter";"Inorganic fertilizers - Extraction of phosphorus which is soluble in neutral ammonium citrate";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=176479";""
"Enquiry";"CEN/TC 260";"prEN 17766";"";"";"Open";"2025-12-25";"2026-03-19";"n/a";"None";"82077";"00260328";"Voter";"Organic and organo-mineral fertilizers - Extraction by water for subsequent determination of elements";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=176439";""
"FV";"CEN/TC 470";"FprEN 18167";"";"";"Open";"2026-01-22";"2026-03-19";"n/a";"None";"77466";"00470002";"Voter";"Quality along the patient pathway for medical imaging in radiology services";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180361";""
"CIB-NWI";"CEN/TC 44";"CEN/TC 44 N 732 - New work item proposal";"";"";"Open";"2026-01-23";"2026-03-20";"n/a";"None";"";"";"Voter";"New Work item proposal ""Commercial refrigeration equipment - Product Category Rules""";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180636";""
"FV";"CEN/TC 144";"EN ISO 8437-1:2021/FprA1:2026";"";"";"Open";"2026-01-22";"2026-03-20";"n/a";"VA/ISO";"74938";"00144420";"Voter";"Snow throwers - Safety requirements and test procedures - Part 1: Terminology and common tests - Amendment 1: Scope clarification (ISO 8437-1:2019/FDAmd1:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180359";""
"FV";"CEN/TC 144";"EN ISO 8437-2:2021/FprA1";"";"";"Open";"2026-01-22";"2026-03-20";"n/a";"VA/ISO";"74939";"00144421";"Voter";"Snow throwers - Safety requirements and test procedures - Part 2: Pedestrian-controlled snow throwers - Amendment 1 (ISO 8437-2:2019/FDAM 1:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180383";""
"FV";"CEN/TC 144";"EN ISO 8437-3:2021/FprA1";"";"";"Open";"2026-01-22";"2026-03-20";"n/a";"VA/ISO";"74940";"00144422";"Voter";"Snow throwers - Safety requirements and test procedures - Part 3: Ride-on snow throwers - Amendment 1 (ISO 8437-3:2019/FDAM 1:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180420";""
"FV";"CEN/TC 144";"EN ISO 8437-4:2021/FprA1:2026";"";"";"Open";"2026-01-22";"2026-03-20";"n/a";"VA/ISO";"74941";"00144423";"Voter";"Snow throwers - Safety requirements and test procedures - Part 4: Additional national and regional requirements - Amendment 1 (ISO 8437-4:2019/FDAmd1:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180421";""
"CIB-NWI";"CEN/TC 158";"NWI amendment to EN 397:2025 Industrial protective helmets";"";"";"Open";"2026-01-23";"2026-03-20";"n/a";"None";"";"";"Voter";"Draft decision 1/2026 Adoption of NWI for EN 397:2025/prA1 Industrial protective helmets";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179416";"Since the participation of at least five members is required to activate this work item, please be advised that CEN Members are also requested to express their will to participate actively in the development of the project."
"CIB";"CEN/TC 165";"Call for Convenor and PSS for CEN/TC 165/WG 1";"";"";"Open";"2026-01-28";"2026-03-20";"n/a";"None";"";"";"Voter";"Call for Convenor and PSS for CEN/TC 165/WG 1 ""General requirements for pipes”";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181736";"Dear members, At the last plenary, the TC 165 Secretariat was informed that the current Convenor Mr Niemöller will only be chairing CEN/TC 165/WG 1 ""General requirements for pipes” until the end of March 2026, and that NEN will subsequently discontinue the secretariat support. At the same time, CEN/TC 165/WG 1 plans two projects (EN 13380 and EN 16397).   Consequently, a new Convenor for CEN/TC 165WG 1 is being searched and a NSB that can provide PSS or a Secretariat."
"CIB";"CEN/TC 165";"Call for Convenor and PSS for CEN/TC 165/WG 12";"";"";"Open";"2026-01-28";"2026-03-20";"n/a";"None";"";"";"Voter";"Call for new Convenor and Secretariat for CEN/TC 165/WG 12 ""Structural design of buried pipelines"".";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181776";"Dear members, At the last CEN/TC 165 plenary, the current convener Mr Lionel Monfront informed the TC that he will retire by the end of March 2026 and therefore will no longer chair CEN/TC 165/WG 12 ""Structural design of buried pipelines"". AFNOR will subsequently discontinue the secretariat support. TC 165 decided to search for a new Convenor and a NSB that is willing to provide professional standardization support. If it is not possible to find these, WG 12 will be dissolved.  For more detailed information, please see attached reference document CEN/TC 165 N 4127."
"FV";"CEN/TC 170";"FprEN ISO 10322";"";"";"Open";"2026-01-22";"2026-03-20";"n/a";"VA/ISO";"77340";"00170317";"Voter";"Ophthalmic optics - Semi-finished blanks (ISO/FDIS 10322:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180384";""
"FV";"CEN/TC 290";"FprEN ISO 25178-606";"";"";"Open";"2026-01-22";"2026-03-20";"n/a";"VA/ISO";"78705";"00290263";"Voter";"Geometrical product specifications (GPS) - Surface texture: Areal - Part 606: Design and characteristics of non-contact (focus variation) instruments (ISO/FDIS 25178-606:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=180385";""
"CIB-AdopPWI";"CEN/TC 242";"PWI EN 1907 rev";"";"";"Open";"2026-01-21";"2026-03-21";"n/a";"None";"";"";"Voter";"English title:   Safety requirements for cableway installations designed to carry persons — Terminology French title: (Optional)     Prescriptions de sécurité pour les installations à câbles transportant des personnes — Terminologie German title: (Optional)     Sicherheitsanforderungen an Seilbahnen für die Personenbeförderung — Begriffsbestimmungen";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180236";"Dear TC member,  according to CEN/TC 242 decision 07/2025 taken on october 16th, 2025:  CEN/TC 242 decides to launch a 2-month CIB on the adoption of a Preliminary Work Item concerning EN 1907. It is agreed that this work item will be activated when the other standards mentioned in the standardization request (M/597) are sent to the CEN enquiry."
"CIB-NWI";"CEN/TC 254";"Draft Dec 682 - NWIP for revision EN 1109";"";"";"Open";"2026-01-21";"2026-03-21";"n/a";"None";"";"";"Voter";"Draft Dec 682 - NWIP for revision of EN 1109 'Flexible sheets for waterproofing - Bitumen sheets for roof waterproofing - Determination of flexibility at low temperature'";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180136";"Reason for revision: The main purpose of this revision is to open the length of the specimen to larger ones. Thereby, other equipment requiring different lengths can be used fulfilling the requirements of this standard. Furthermore, a paragraph is proposed to be added, which indicates a procedure followed if it is not possible to remove a thin film."
"CIB-NWI";"CEN/TC 250";"NWIP EN 1995-2:2026/prA1";"";"";"Open";"2026-01-21";"2026-03-22";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180536";""
"CIB-NWI";"CEN/TC 250";"NWIP revision CEN/TS 1994-1-101:2025";"";"";"Open";"2026-01-21";"2026-03-22";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180516";""
"CIB";"CEN/TC 129";"Comments Heat soaked thermally toughened soda lime silicate";"";"";"Open";"2026-01-23";"2026-03-23";"n/a";"None";"";"";"Voter";"Comments - Glass in Building -  Heat soaked thermally toughened soda lime silicate safety glass - Part 1: Definition and description";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180796";""
"CIB";"CEN/TC 129";"Comments Thermally toughened soda lime silicate safety glass";"";"";"Open";"2026-01-23";"2026-03-23";"n/a";"None";"";"";"Voter";"Comments - Glass in Building - Thermally toughened soda lime silicate safety glass - Part 1 - Definition and description";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180776";""
"CIB-ActivPWI";"CEN/TC 129";"Dec 839 - Activation PWI - In-plane thermally induced stress";"";"";"Open";"2026-01-23";"2026-03-23";"n/a";"None";"";"";"Voter";"Draft Decision 839 - Activation PWI - Glass in building - In-plane thermally induced stress - Calculation method";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180596";""
"CIB-AdopPWI";"CEN/TC 129";"Dec 840 - Adoption PWI Thermally toughened soda lime";"";"";"Open";"2026-01-23";"2026-03-23";"n/a";"None";"";"";"Voter";"Decision 840 - Adoption PWI - Glass in Building - Thermally toughened soda lime silicate safety glass - Part 1 - Definition and description";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180736";""
"CIB-AdopPWI";"CEN/TC 129";"Dec 841 - Adoption PWI Heat soaked thermally toughened soda";"";"";"Open";"2026-01-23";"2026-03-23";"n/a";"None";"";"";"Voter";"Decision 841 - Adoption PWI - Glass in B -  Heat soaked thermally toughened soda lime silicate safety glass - Part 1: Definition and description";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180756";""
"CIB-NWI";"CEN/TC 459/SC 10";"Adoption New Work Item Proposal prEN10352:2026";"";"";"Open";"2026-01-23";"2026-03-23";"n/a";"None";"";"";"Voter";"Adoption of a New Work Item prEN 10352:2026 ""Stainless steel plumbing fittings — Fittings with press ends for metallic tubes""";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181136";""
"CIB-NWI";"CEN/TC 459/SC 10";"Adoption New Work Item Proposal prEN10358:2026";"";"";"Open";"2026-01-23";"2026-03-23";"n/a";"None";"";"";"Voter";"Adoption of a New Work Item prEN 10358:2026 ""Unalloyed steel plumbing fittings — Fittings with press ends for unalloyed steel tubes”";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181156";""
"CIB-NWI";"CEN/TC 88";"DRAFT DECISION 1030c/2026 – New Work Item EN 15715-1";"";"";"Open";"2026-01-24";"2026-03-24";"n/a";"None";"";"";"Voter";"DRAFT DECISION 1030c/2026 – New Work Item EN 15715-1";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180976";"Draft Decision 1030c/2026 taken by CEN/TC 88 on 2026-03-24   Subject: CEN/TC 88 – Adoption of a New Work Item EN 15715-1, Thermal insulation products – Instructions for fire testing – Part 1: Mounting and fixing and direct field of application for reaction to fire tests of factory made products    CEN/TC 88 ""Thermal insulating materials and products”   having considered the proposal for a New Work Item as documented in CEN/TC 88 N 4714;having considered the Guidance - Adoption of a New Work Item in a CEN Technical Committee as documented in the BOSS;confirming that the New Work Item falls within its scope;confirming that the New Work Item corresponds to real market needs;confirming that the resources to complete the work below are available;  decides to register the Work Item described on the following pages in its active programme of work."
"CIB-NWI";"CEN/TC 88";"DRAFT DECISION 1031c/2026 – New Work Item EN 15715-2";"";"";"Open";"2026-01-24";"2026-03-24";"n/a";"None";"";"";"Voter";"DRAFT DECISION 1031c/2026 – New Work Item EN 15715-2";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180996";"Draft Decision 1031c/2026 taken by CEN/TC 88 on 2026-03-24   Subject: CEN/TC 88 – Adoption of a New Work Item EN 15715-2, Thermal insulation products – Instructions for fire testing – Part 2: Mounting and fixing and direct field of application for loose fill products   CEN/TC 88 ""Thermal insulating materials and products”   having considered the proposal for a New Work Item as documented in CEN/TC 88 N 4715;having considered the Guidance - Adoption of a New Work Item in a CEN Technical Committee as documented in the BOSS;confirming that the New Work Item falls within its scope;confirming that the New Work Item corresponds to real market needs;confirming that the resources to complete the work below are available;  decides to register the Work Item described on the following pages in its active programme of work."
"CIB-NWI";"CEN/TC 88";"DRAFT DECISION 1032c/2026 – New Work Item EN 15715-3";"";"";"Open";"2026-01-24";"2026-03-24";"n/a";"None";"";"";"Voter";"DRAFT DECISION 1032c/2026 – New Work Item EN 15715-3";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181016";"DRAFT DECISION 1032c/2026 – New Work Item EN 15715-3   Subject: CEN/TC 88 – Adoption of a New Work Item EN 15715-3, Thermal insulation products – Instructions for fire testing – Part 3: Mounting and fixing and direct field of application for in-situ foamed or sprayed products  CEN/TC 88 ""Thermal insulating materials and products”   having considered the proposal for a New Work Item as documented in CEN/TC 88 N 4716;having considered the Guidance - Adoption of a New Work Item in a CEN Technical Committee as documented in the BOSS;confirming that the New Work Item falls within its scope;confirming that the New Work Item corresponds to real market needs;confirming that the resources to complete the work below are available;  decides to register the Work Item described on the following pages in its active programme of work."
"CIB-NWI";"CEN/TC 88";"DRAFT DECISION 1033c/2026 – New Work Item EN 15715-4";"";"";"Open";"2026-01-24";"2026-03-24";"n/a";"None";"";"";"Voter";"DRAFT DECISION 1033c/2026 – New Work Item EN 15715-4";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181036";"Draft Decision 1033c/2026 taken by CEN/TC 88 on 2026-03-24   Subject: CEN/TC 88 – Adoption of a New Work Item EN 15715-4, Thermal insulation products – Instructions for fire testing – Part 4: Mounting and fixing and direct field of application for continuous smouldering tests for factory made and loose fill products  CEN/TC 88 ""Thermal insulating materials and products”   having considered the proposal for a New Work Item as documented in CEN/TC 88 N 4717;having considered the Guidance - Adoption of a New Work Item in a CEN Technical Committee as documented in the BOSS;confirming that the New Work Item falls within its scope;confirming that the New Work Item corresponds to real market needs;confirming that the resources to complete the work below are available;  decides to register the Work Item described on the following pages in its active programme of work."
"Enquiry";"CEN/TC 184";"prEN ISO 17947-1";"";"";"Open";"2025-12-25";"2026-03-24";"n/a";"VA/ISO";"79017";"00184286";"Voter";"Fine ceramics (advanced ceramics, advanced technical ceramics) - Methods for chemical analysis of silicon nitride powders - Part 1: Wet chemical methods, X-ray fluorescence (XRF) using the fused cast-bead method, carrier-gas hot extraction (CGHE) and combustion methods (ISO/DIS 17947-1:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=176457";""
"CIB-ActivPWI";"CEN/TC 194";"Activation of EN 1388-1";"";"";"Open";"2026-01-24";"2026-03-24";"n/a";"None";"";"";"Voter";"Materials and articles in contact with foodstuffs - Silicate surfaces - Part 1: Determination of the release of lead and cadmium from ceramic ware";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181116";""
"CIB-ActivPWI";"CEN/TC 194";"Activation of EN 1388-2";"";"";"Open";"2026-01-24";"2026-03-24";"n/a";"None";"";"";"Voter";"Materials and articles in contact with foodstuffs - Silicate surfaces - Part 2: Determination of the release of lead and cadmium from silicate surfaces other than ceramic ware";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181117";""
"CIB-ActivPWI";"CEN/TC 194";"Activation of EN 1388-3";"";"";"Open";"2026-01-24";"2026-03-24";"n/a";"None";"";"";"Voter";"Materials and articles in contact with foodstuffs - Silicate surfaces - Part 3: Room temperature test for the determination of the release of chemical elements from metallic articles coated with porcelain enamel";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181118";""
"Enquiry";"CEN/TC 194";"prEN ISO 8442-1";"";"";"Open";"2025-12-25";"2026-03-24";"n/a";"VA/ISO";"81411";"00194172";"Voter";"Materials and articles in contact with foodstuffs - Cutlery and table holloware - Part 1: Requirements for cutlery for the preparation of food (ISO/DIS 8442-1:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=176496";""
"CIB-NWI";"CEN/TC 459/SC 13";"CIB 2026-01 Revision EN 10088-1";"";"";"Open";"2026-01-28";"2026-03-25";"n/a";"None";"";"";"Voter";"CIB Decision 2026-01 NWIP EN 10088-1:2023";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=161960";""
"CIB-NWI";"CEN/TC 459/SC 13";"CIB 2026-02 Revision EN 10088-2";"";"";"Open";"2026-01-28";"2026-03-25";"n/a";"None";"";"";"Voter";"CIB Decision 2026-02 NWIP EN 10088-2:2024";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=162083";""
"CIB-NWI";"CEN/TC 459/SC 13";"CIB 2026-03 Revision EN 10088-3";"";"";"Open";"2026-01-28";"2026-03-25";"n/a";"None";"";"";"Voter";"CIB Decision 2026-03 NWIP EN 10088-3:2023";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=162084";""
"Enquiry";"CEN/TC 136";"prEN ISO 20957-10";"";"";"Open";"2026-01-08";"2026-03-26";"n/a";"VA/CEN";"81497";"00136529";"Voter";"Stationary training equipment - Part 10: Exercise bicycles with a fixed wheel or without freewheel - Additional specific safety requirements and test methods (ISO/DIS 20957-10:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177098";""
"Enquiry";"CEN/TC 136";"prEN ISO 20957-5";"";"";"Open";"2026-01-08";"2026-03-26";"n/a";"VA/CEN";"81496";"00136528";"Voter";"Stationary training equipment - Part 5: Stationary exercise bicycles and upper body crank training equipment, additional specific safety requirements and test methods (ISO/DIS 20957-5:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177097";""
"Enquiry";"CEN/TC 290";"prEN ISO 463";"";"";"Open";"2025-12-25";"2026-03-26";"n/a";"VA/ISO";"80722";"00290270";"Voter";"Geometrical product specifications (GPS) - Dimensional measuring equipment - Design and metrological characteristics of indicators (ISO/DIS 463:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=176458";""
"Enquiry";"CEN/TC 438";"prEN ISO/ASTM 52961";"";"";"Open";"2025-12-25";"2026-03-26";"n/a";"VA/ISO";"81830";"00438085";"Voter";"Additive manufacturing of polymers - Environment, health and safety - General principles for use of polymers with material extrusion (ISO/ASTM DIS 52961:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=176440";""
"Enquiry";"Sectors";"prEN ISO 17651-4";"";"";"Open";"2025-12-25";"2026-03-26";"n/a";"VA/ISO";"80259";"CSA07015";"Voter";"Simultaneous interpreting - Interpreters’ working environment - Part 4: Requirements and recommendations for signed language interpreting (ISO/DIS 17651-4:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=176478";""
"CIB-NWI";"CEN/TC 132";"Decision 01/2026: Adoption of NWI for amendment of EN 573-3";"";"";"Open";"2026-01-27";"2026-03-27";"n/a";"None";"";"";"Voter";"Aluminium and aluminium alloys - Chemical composition and form of wrought products - Part 3: Chemical composition and form of products";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181536";"As registered in the Teal Sheets of the Aluminum Assocation, registration of 5050D alloy as EN AW-5050D has been required by European Aluminuim on behalf of his members.   The composition to be registered will be as follows : (Limits % max unless shown as a range) Si            0,7 Fe           0,7 Cu           0,20 Mn          0,30 Mg          0,7 - 1,8 Cr           0,10 Ni            - Zn           0,25 Ti            0,18 Ga          - V             - Remarks  - Others, Each          0,05 Others, Total          0.15 Aluminum               Remainder   WI is based Alloy Registration Acceptance Form from The Aluminum Association published on September 16th 2025.   Product forms of concern for alloy EN AW-5050D will be “Sheet, strip and plate” and “Can stock and closures”, as implemented for other variants of EN AW-5050 alloy."
"CIB-NWI";"CEN/TC 155";"DEC 1623 NWI for adoption of EN ISO 7685";"";"";"Open";"2026-01-22";"2026-03-27";"n/a";"None";"";"";"Voter";"ISO 7685:2026, Glass-reinforced thermosetting plastics (GRP) pipes — Determination of initial ring stiffness,";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179756";"Following the approach agreed by the Helsinki Agreement, regarding the conversion of EN test methods to EN ISO test methods for CEN/TC 155 product standards.  The request is to take over ISO 7685:2026 indentically as EN ISO 7685.  Following the Helsinki Agreement, the intention of the adoption of this WI is to replace the obsolete test method EN 1228:1996. For the replacement of EN 1228:1996 by future ENI ISO 7685, seperately a CIB  is launched (DEC 1624)"
"CIB";"CEN/TC 155";"DEC 1624 future EN ISO 7685 to replace EN 1228:1996";"";"";"Open";"2026-01-22";"2026-03-27";"n/a";"None";"";"";"Voter";"Glass-reinforced thermosetting plastics (GRP) pipes — Determination of initial ring stiffness";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179736";"The new edition of ISO 7685, Glass-reinforced thermosetting plastics (GRP) pipes — Determination of initial ring stiffness, was published on 2026-01-07.  Following the Helsinki Agreement, it has been the intention of CEN/TC 155/WG 14 to replace the existing obsolete EN 1228:1996 by future EN ISO 7685. This will be ISO 7685:2026, taken over indentically under the Vienna Agreement. A co-existence period of 3 years for the old EN test method and new EN ISO test method will be requested at the registration of the New Work Item for the EN ISO test method.  In parallel a CIB will be running for the adoption of an active WI for EN ISO 7685."
"CIB";"CEN/TC 162";"Draft Dec C646/2026 - adoption of EN ISO 18889 under VA";"";"";"Open";"2026-01-27";"2026-03-27";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181656";""
"CIB-NWI";"CEN/TC 192";"DraftDec 02/2026 NWIP for revision of EN 15182-1:2019";"";"";"Open";"2026-01-27";"2026-03-27";"n/a";"None";"";"";"Voter";"Draft Decision 02/2026 to adopt an NWIP for revision of WI 00192112 EN 15182-1:2019 Portable equipment for projecting extinguishing agents supplied by firefighting pumps - Hand-held branchpipes for fire service use - Part 1: Common requirements";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181336";""
"CIB-NWI";"CEN/TC 192";"DraftDec 03/2026 NWIP for revision of EN 15182-2:2019";"";"";"Open";"2026-01-27";"2026-03-27";"n/a";"None";"";"";"Voter";"Draft Decision 03/2026 to adopt an NWIP for revision of WI 00192113 EN 15182-2:2019 Portable equipment for projecting extinguishing agents and firefighting support operations — Hand-held branchpipes for fire service use — Part 2: Combination branchpipes PN 16";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181356";""
"CIB-NWI";"CEN/TC 192";"DraftDec 04/2026 NWIP for revision of EN 15182-3:2019";"";"";"Open";"2026-01-27";"2026-03-27";"n/a";"None";"";"";"Voter";"Draft Decision 04/2026 to adopt an NWIP for revision of WI 00192114 EN 15182-3:2019 Portable equipment for projecting extinguishing agents and firefighting support operations — Hand-held branchpipes for fire service use — Part 3: Smooth bore and/or one fixed spray jet angle branchpipes PN 16";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181376";""
